volcanoid,v_name,country,region,subregion,latitude,longitude,pei,h_active,vei_holoce,hazard,class,risk,field_14,field_15,location
210010,West Eifel Volcanic Field,Germany,Mediterranean and W Asia,Western Europe,50.170000000000002,6.850000000000000,6,0,Unknown VEI,,U-HR,,,,POINT(6.850000000000000 50.170000000000002)
210020,Cha?ne des Puys,France,Mediterranean and W Asia,Western Europe,45.774999999999999,2.970000000000000,7,0,Unknown VEI,,U-HR,,,,POINT(2.970000000000000 45.774999999999999)
210030,Olot Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,42.170000000000002,2.530000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(2.530000000000000 42.170000000000002)
210040,Calatrava Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,38.869999999999997,-4.020000000000000,6,0,Unknown VEI,,U-HR,,,,POINT(-4.020000000000000 38.869999999999997)
211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.250000000000000,10.869999999999999,4,0,3,,U-HR,,,,POINT(10.869999999999999 43.250000000000000)
211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.600000000000001,11.930000000000000,5,0,Unknown VEI,,U-HR,,,,POINT(11.930000000000000 42.600000000000001)
211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.729999999999997,12.699999999999999,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(12.699999999999999 41.729999999999997)
211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.826999999999998,14.138999999999999,7,1,5,3,NULL,3,,,POINT(14.138999999999999 40.826999999999998)
211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.820999999999998,14.426000000000000,7,1,5,3,NULL,3,,,POINT(14.426000000000000 40.820999999999998)
211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.729999999999997,13.897000000000000,5,0,3,,U-HR,,,,POINT(13.897000000000000 40.729999999999997)
211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.479999999999997,14.830000000000000,2,0,Unknown VEI,,U-HR,,,,POINT(14.830000000000000 39.479999999999997)
211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789000000000001,15.212999999999999,3,1,3,1,NULL,1,,,POINT(15.212999999999999 38.789000000000001)
211041,Panarea,Italy,Mediterranean and W Asia,Italy,38.630000000000003,15.070000000000000,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(15.070000000000000 38.630000000000003)
211042,Lipari,Italy,Mediterranean and W Asia,Italy,38.479999999999997,14.949999999999999,5,0,Unknown VEI,,U-HR,,,,POINT(14.949999999999999 38.479999999999997)
211050,Vulcano,Italy,Mediterranean and W Asia,Italy,38.404000000000003,14.962000000000000,4,1,4,3,NULL,3,,,POINT(14.962000000000000 38.404000000000003)
211060,Etna,Italy,Mediterranean and W Asia,Italy,37.734000000000002,15.004000000000000,5,1,5,2,NULL,2,,,POINT(15.004000000000000 37.734000000000002)
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and W Asia,Italy,37.100000000000001,12.699999999999999,6,1,3,1,NULL,2,,,POINT(12.699999999999999 37.100000000000001)
211071,Pantelleria,Italy,Mediterranean and W Asia,Italy,36.770000000000003,12.020000000000000,4,1,1,,U-HHR,,,,POINT(12.020000000000000 36.770000000000003)
212020,Methana,Greece,Mediterranean and W Asia,Greece,37.615000000000002,23.335999999999999,4,0,3,,U-HR,,,,POINT(23.335999999999999 37.615000000000002)
212030,M?los,Greece,Mediterranean and W Asia,Greece,36.698999999999998,24.439000000000000,3,0,1,,U-HR,,,,POINT(24.439000000000000 36.698999999999998)
212040,Santorini,Greece,Mediterranean and W Asia,Greece,36.404000000000003,25.396000000000001,4,1,7,3,NULL,3,,,POINT(25.396000000000001 36.404000000000003)
212050,Nisyros,Greece,Mediterranean and W Asia,Greece,36.585999999999999,27.160000000000000,2,1,2,2,NULL,1,,,POINT(27.160000000000000 36.585999999999999)
212051,Yali,Greece,Mediterranean and W Asia,Greece,36.670999999999999,27.140000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(27.140000000000001 36.670999999999999)
213000,Kula,Turkey,Mediterranean and W Asia,Turkey,38.579999999999998,28.520000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(28.520000000000000 38.579999999999998)
213001,Karapinar Field,Turkey,Mediterranean and W Asia,Turkey,37.670000000000002,33.649999999999999,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(33.649999999999999 37.670000000000002)
213002,Hasan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.130000000000003,34.170000000000002,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(34.170000000000002 38.130000000000003)
213003,G?ll? Dag,Turkey,Mediterranean and W Asia,Turkey,38.250000000000000,34.570000000000000,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(34.570000000000000 38.250000000000000)
213004,Acig?l-Nevsehir,Turkey,Mediterranean and W Asia,Turkey,38.570000000000000,34.520000000000003,6,0,Unknown VEI,,U-HR,,,,POINT(34.520000000000003 38.570000000000000)
213010,Erciyes Dagi,Turkey,Mediterranean and W Asia,Turkey,38.520000000000003,35.479999999999997,5,0,Unknown VEI,,U-HR,,,,POINT(35.479999999999997 38.520000000000003)
213011,Karaca Dag,Turkey,Mediterranean and W Asia,Turkey,37.670000000000002,39.829999999999998,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.829999999999998 37.670000000000002)
213020,Nemrut Dagi,Turkey,Mediterranean and W Asia,Turkey,38.649999999999999,42.229999999999997,4,1,Unknown VEI,,U-HHR,,,,POINT(42.229999999999997 38.649999999999999)
213021,S?phan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.920000000000002,42.820000000000000,4,0,Unknown VEI,,U-HR,,,,POINT(42.820000000000000 38.920000000000002)
213022,Girekol Tepe,Turkey,Mediterranean and W Asia,Turkey,39.192000000000000,43.216999999999999,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(43.216999999999999 39.192000000000000)
213030,Tend?rek Dagi,Turkey,Mediterranean and W Asia,Turkey,39.369999999999997,43.869999999999997,4,1,Unknown VEI,,U-HHR,,,,POINT(43.869999999999997 39.369999999999997)
213040,Ararat,Turkey,Mediterranean and W Asia,Turkey,39.700000000000003,44.299999999999997,4,1,3,,U-HHR,,,,POINT(44.299999999999997 39.700000000000003)
213050,Kars Plateau,Turkey,Mediterranean and W Asia,Turkey,40.750000000000000,43.250000000000000,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(43.250000000000000 40.750000000000000)
214010,Elbrus,Russia,Mediterranean and W Asia,Western Asia,43.329999999999998,42.450000000000003,3,0,Unknown VEI,,U-HR,,,,POINT(42.450000000000003 43.329999999999998)
214020,Kasbek,Georgia,Mediterranean and W Asia,Western Asia,42.700000000000003,44.500000000000000,3,0,Unknown VEI,,U-HR,,,,POINT(44.500000000000000 42.700000000000003)
214030,Kabargin Oth Group,Georgia,Mediterranean and W Asia,Western Asia,42.549999999999997,44.000000000000000,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(44.000000000000000 42.549999999999997)
214040,Unnamed,Georgia,Mediterranean and W Asia,Western Asia,42.450000000000003,44.250000000000000,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(44.250000000000000 42.450000000000003)
214050,Unnamed,Georgia,Mediterranean and W Asia,Western Asia,41.549999999999997,43.600000000000001,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(43.600000000000001 41.549999999999997)
214060,Aragats,Armenia,Mediterranean and W Asia,Western Asia,40.530000000000001,44.200000000000003,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(44.200000000000003 40.530000000000001)
214070,Ghegam Ridge,Armenia,Mediterranean and W Asia,Western Asia,40.274999999999999,44.750000000000000,7,0,0,,U-HR,,,,POINT(44.750000000000000 40.274999999999999)
214080,Dar-Alages,Armenia,Mediterranean and W Asia,Western Asia,39.700000000000003,45.542000000000002,5,0,Unknown VEI,,U-HR,,,,POINT(45.542000000000002 39.700000000000003)
214090,Porak,Armenia-Azerbaijan,Mediterranean and W Asia,Western Asia,40.020000000000003,45.780000000000001,3,0,Unknown VEI,,U-HR,,,,POINT(45.780000000000001 40.020000000000003)
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Mediterranean and W Asia,Western Asia,39.729999999999997,46.020000000000003,3,0,Unknown VEI,,U-HR,,,,POINT(46.020000000000003 39.729999999999997)
221010,"Tair, Jebel at",Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.550000000000001,41.829999999999998,2,1,3,1,NULL,1,,,POINT(41.829999999999998 15.550000000000001)
221020,Zubair Group,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.050000000000001,42.180000000000000,2,1,2,,U-HHR,,,,POINT(42.180000000000000 15.050000000000001)
221021,Zukur,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,14.020000000000000,42.750000000000000,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(42.750000000000000 14.020000000000000)
221022,Hanish,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,13.720000000000001,42.729999999999997,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(42.729999999999997 13.720000000000001)
221030,Jalua,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,15.042000000000000,39.820000000000000,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.820000000000000 15.042000000000000)
221040,Alid,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,14.880000000000001,39.920000000000002,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.920000000000002 14.880000000000001)
221041,Dallol,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242000000000001,40.299999999999997,2,1,1,,U-HHR,,,,POINT(40.299999999999997 14.242000000000001)
221050,Gada Ale,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975000000000000,40.408000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.408000000000001 13.975000000000000)
221060,Alu,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.824999999999999,40.508000000000003,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.508000000000003 13.824999999999999)
221070,Dalaffilla,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.792000000000000,40.549999999999997,2,1,3,,U-HHR,,,,POINT(40.549999999999997 13.792000000000000)
221071,Borale Ale,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725000000000000,40.600000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.600000000000001 13.725000000000000)
221080,Erta Ale,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.600000000000000,40.670000000000002,3,1,0,1,NULL,1,,,POINT(40.670000000000002 13.600000000000000)
221090,Ale Bagu,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.520000000000000,40.630000000000003,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.630000000000003 13.520000000000000)
221091,Hayli Gubbi,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.500000000000000,40.719999999999999,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.719999999999999 13.500000000000000)
221100,Dubbi,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.580000000000000,41.808000000000000,2,1,3,,U-HHR,,,,POINT(41.808000000000000 13.580000000000000)
221101,Nabro,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.369999999999999,41.700000000000003,2,1,4,,U-HHR,,,,POINT(41.700000000000003 13.369999999999999)
221102,Mallahle,Ethiopia-Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.270000000000000,41.649999999999999,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.649999999999999 13.270000000000000)
221103,Sork Ale,Ethiopia-Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.180000000000000,41.725000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.725000000000001 13.180000000000000)
221104,Asavyo,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.070000000000000,41.600000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.600000000000001 13.070000000000000)
221105,Mat Ala,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.100000000000000,41.149999999999999,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.149999999999999 13.100000000000000)
221106,Tat Ali,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.279999999999999,41.070000000000000,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.070000000000000 13.279999999999999)
221107,Borawli,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.300000000000001,40.979999999999997,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.979999999999997 13.300000000000001)
221110,Afder?,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.080000000000000,40.850000000000001,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.850000000000001 13.080000000000000)
221111,Ma Alalta,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.020000000000000,40.200000000000003,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.200000000000003 13.020000000000000)
221112,Alayta,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.880000000000001,40.570000000000000,2,1,2,,U-HHR,,,,POINT(40.570000000000000 12.880000000000001)
221113,Dabbahu,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.600000000000000,40.479999999999997,3,1,3,,U-HHR,,,,POINT(40.479999999999997 12.600000000000000)
221114,Dabbayra,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.380000000000001,40.070000000000000,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.070000000000000 12.380000000000001)
221115,Manda Hararo,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.170000000000000,40.820000000000000,2,1,2,,U-HHR,,,,POINT(40.820000000000000 12.170000000000000)
221116,Groppo,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.730000000000000,40.250000000000000,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.250000000000000 11.730000000000000)
221120,Kurub,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.880000000000001,41.207999999999998,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.207999999999998 11.880000000000001)
221121,Borawli,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.630000000000001,41.450000000000003,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.450000000000003 11.630000000000001)
221122,Manda-Inakir,Ethiopia-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.380000000000001,42.200000000000003,2,1,2,,U-HHR,,,,POINT(42.200000000000003 12.380000000000001)
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.470000000000001,42.399999999999999,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(42.399999999999999 12.470000000000001)
221124,Gufa,Eritrea-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.550000000000001,42.530000000000001,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(42.530000000000001 12.550000000000001)
221125,Assab Volcanic Field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,12.949999999999999,42.430000000000000,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(42.430000000000000 12.949999999999999)
221126,Ardouk?ba,Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,11.580000000000000,42.469999999999999,3,1,1,,U-HHR,,,,POINT(42.469999999999999 11.580000000000000)
221127,Manda Gargori,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.750000000000000,41.479999999999997,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.479999999999997 11.750000000000000)
221141,Dama Ali,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.279999999999999,41.630000000000003,3,1,Unknown VEI,,U-HHR,,,,POINT(41.630000000000003 11.279999999999999)
221150,Gabillema,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.080000000000000,41.270000000000003,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.270000000000003 11.080000000000000)
221151,Yangudi,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.580000000000000,41.042000000000002,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(41.042000000000002 10.580000000000000)
221160,Ayelu,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082000000000001,40.701999999999998,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.701999999999998 10.082000000000001)
221170,Adwa,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,10.070000000000000,40.840000000000003,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.840000000000003 10.070000000000000)
221171,Hertali,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,9.779999999999999,40.329999999999998,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.329999999999998 9.779999999999999)
221172,Liado Hayk,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,9.570000000000000,40.280000000000001,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.280000000000001 9.570000000000000)
221180,Dofen,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,9.350000000000000,40.130000000000003,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(40.130000000000003 9.350000000000000)
221190,Fentale,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975000000000000,39.930000000000000,4,1,0,,U-HHR,,,,POINT(39.930000000000000 8.975000000000000)
221191,Beru,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.949999999999999,39.750000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.750000000000000 8.949999999999999)
221200,Kone,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.800000000000001,39.692000000000000,5,1,1,,U-HHR,,,,POINT(39.692000000000000 8.800000000000001)
221201,Unnamed,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.699999999999999,39.630000000000003,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.630000000000003 8.699999999999999)
221210,Boset-Bericha,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558000000000000,39.475000000000001,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.475000000000001 8.558000000000000)
221220,Bishoftu Volcanic Field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.779999999999999,38.979999999999997,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.979999999999997 8.779999999999999)
221221,Unnamed,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.619999999999999,38.950000000000003,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.950000000000003 8.619999999999999)
221222,Sodore,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.430000000000000,39.350000000000001,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.350000000000001 8.430000000000000)
221230,Gedamsa,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.350000000000000,39.180000000000000,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.180000000000000 8.350000000000000)
221240,Bora-Bericcio,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.270000000000000,39.030000000000001,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.030000000000001 8.270000000000000)
221250,Tullu Moje,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.158000000000000,39.130000000000003,5,1,Unknown VEI,,U-HHR,,,,POINT(39.130000000000003 8.158000000000000)
221251,Unnamed,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.070000000000000,39.070000000000000,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(39.070000000000000 8.070000000000000)
221252,East Zway,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.950000000000000,38.930000000000000,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.930000000000000 7.950000000000000)
221260,Butajiri-Silti Field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.050000000000001,38.350000000000001,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.350000000000001 8.050000000000001)
221270,Alutu,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.770000000000000,38.780000000000001,5,0,Unknown VEI,,U-HR,,,,POINT(38.780000000000001 7.770000000000000)
221280,O'a Caldera(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.470000000000000,38.579999999999998,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.579999999999998 7.470000000000000)
221290,Corbetti Caldera(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.180000000000000,38.430000000000000,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.430000000000000 7.180000000000000)
221291,Bilate River Field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.070000000000000,38.100000000000001,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.100000000000001 7.070000000000000)
221292,Tepi,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,7.420000000000000,35.430000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(35.430000000000000 7.420000000000000)
221293,Hobicha Caldera(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,6.780000000000000,37.829999999999998,7,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.829999999999998 6.780000000000000)
221300,Chiracha,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,6.650000000000000,38.119999999999997,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(38.119999999999997 6.650000000000000)
221310,Tosa Sucha,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,5.930000000000000,37.570000000000000,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.570000000000000 5.930000000000000)
221311,Unnamed,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,5.650000000000000,37.670000000000002,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.670000000000002 5.650000000000000)
221320,Korath Range,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,5.100000000000000,35.880000000000003,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(35.880000000000003 5.100000000000000)
221330,Mega Basalt Field,Ethiopia-Kenya,Africa and Red Sea,Africa (northeastern) and Red Sea,4.080000000000000,37.420000000000002,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.420000000000002 4.080000000000000)
222001,North Island,Kenya,Africa and Red Sea,Africa (eastern),4.070000000000000,36.049999999999997,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.049999999999997 4.070000000000000)
222010,Central Island,Kenya,Africa and Red Sea,Africa (eastern),3.500000000000000,36.042000000000002,2,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.042000000000002 3.500000000000000)
222020,South Island,Kenya,Africa and Red Sea,Africa (eastern),2.630000000000000,36.600000000000001,2,1,1,,U-HHR,,,,POINT(36.600000000000001 2.630000000000000)
222021,Marsabit,Kenya,Africa and Red Sea,Africa (eastern),2.320000000000000,37.969999999999999,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.969999999999999 2.320000000000000)
222030,"Barrier, The",Kenya,Africa and Red Sea,Africa (eastern),2.320000000000000,36.570000000000000,2,1,2,1,NULL,1,,,POINT(36.570000000000000 2.320000000000000)
222040,Namarunu,Kenya,Africa and Red Sea,Africa (eastern),1.980000000000000,36.430000000000000,2,0,Unknown VEI,,U-HR,,,,POINT(36.430000000000000 1.980000000000000)
222050,Segererua Plateau,Kenya,Africa and Red Sea,Africa (eastern),1.570000000000000,37.899999999999999,3,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.899999999999999 1.570000000000000)
222051,Emuruangogolak,Kenya,Africa and Red Sea,Africa (eastern),1.500000000000000,36.329999999999998,2,1,0,,U-HHR,,,,POINT(36.329999999999998 1.500000000000000)
222052,Silali,Kenya,Africa and Red Sea,Africa (eastern),1.150000000000000,36.229999999999997,3,0,Unknown VEI,,U-HR,,,,POINT(36.229999999999997 1.150000000000000)
222053,Paka,Kenya,Africa and Red Sea,Africa (eastern),0.920000000000000,36.180000000000000,3,0,4,,U-HR,,,,POINT(36.180000000000000 0.920000000000000)
222054,Korosi,Kenya,Africa and Red Sea,Africa (eastern),0.770000000000000,36.119999999999997,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.119999999999997 0.770000000000000)
222055,Ol Kokwe,Kenya,Africa and Red Sea,Africa (eastern),0.620000000000000,36.075000000000003,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.075000000000003 0.620000000000000)
222056,Nyambeni Hills,Kenya,Africa and Red Sea,Africa (eastern),0.230000000000000,37.869999999999997,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.869999999999997 0.230000000000000)
222060,Menengai,Kenya,Africa and Red Sea,Africa (eastern),-0.200000000000000,36.070000000000000,6,0,6,,U-HR,,,,POINT(36.070000000000000 -0.200000000000000)
222070,Homa Mountain,Kenya,Africa and Red Sea,Africa (eastern),-0.380000000000000,34.500000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(34.500000000000000 -0.380000000000000)
222071,Elmenteita Badlands,Kenya,Africa and Red Sea,Africa (eastern),-0.520000000000000,36.270000000000003,6,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.270000000000003 -0.520000000000000)
222080,"Eburru, Ol Doinyo",Kenya,Africa and Red Sea,Africa (eastern),-0.650000000000000,36.219999999999999,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.219999999999999 -0.650000000000000)
222090,Olkaria,Kenya,Africa and Red Sea,Africa (eastern),-0.904000000000000,36.292000000000002,5,1,Unknown VEI,,U-HHR,,,,POINT(36.292000000000002 -0.904000000000000)
222100,Longonot,Kenya,Africa and Red Sea,Africa (eastern),-0.914000000000000,36.445999999999998,5,1,0,,U-HHR,,,,POINT(36.445999999999998 -0.914000000000000)
222110,Suswa,Kenya,Africa and Red Sea,Africa (eastern),-1.175000000000000,36.350000000000001,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(36.350000000000001 -1.175000000000000)
222120,"Lengai, Ol Doinyo",Tanzania,Africa and Red Sea,Africa (eastern),-2.764000000000000,35.914000000000001,3,1,3,2,NULL,2,,,POINT(35.914000000000001 -2.764000000000000)
222130,Chyulu Hills,Kenya,Africa and Red Sea,Africa (eastern),-2.680000000000000,37.880000000000003,4,1,2,,U-HHR,,,,POINT(37.880000000000003 -2.680000000000000)
222150,Kilimanjaro,Tanzania,Africa and Red Sea,Africa (eastern),-3.070000000000000,37.350000000000001,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(37.350000000000001 -3.070000000000000)
222160,Meru,Tanzania,Africa and Red Sea,Africa (eastern),-3.250000000000000,36.750000000000000,5,1,4,,U-HHR,,,,POINT(36.750000000000000 -3.250000000000000)
222161,Igwisi Hills,Tanzania,Africa and Red Sea,Africa (eastern),-4.891000000000000,31.930000000000000,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(31.930000000000000 -4.891000000000000)
222162,Unnamed,Tanzania,Africa and Red Sea,Africa (eastern),-8.624000000000001,33.582999999999998,4,0,No confirmed eruptions,,U-NHHR,,,,POINT(33.582999999999998 -8.624000000000001)
222163,SW Usangu Basin,Tanzania,Africa and Red Sea,Africa (eastern),-8.750000000000000,33.799999999999997,5,0,No confirmed eruptions,,U-NHHR,,,,POINT(33.799999999999997 -8.750000000000000)
